Same/Different,API Name,API Party,API Place,API Candidate Code,Mz Legal Name,Mz Other Names,Mz URL,Mz Parties Ever,Mz Aspirant Ever,Mz Politician Ever,Mz ID
Same,GIDEON KIPSIELEI TOWETT MOI,KENYA AFRICAN NATIONAL UNION,BARINGO (county),374A24AF-DB66-E211-A3B9-00505687000D,Gideon Kipsiele Towett Moi,Gideon Kipsiele Towett Moi,http://info.mzalendo.com/person/gideon-moi/,Kenya African National Union,Aspirant Senator at Baringo (County 2013-),,305
Same,JULIUS KIPYEGON KONES,KENYA NATIONAL CONGRESS,BOMET (county),8054B0DB-8569-E211-B91E-005056870012,Julius Kipyegon Kones,Julius Kipyegon Kones,http://info.mzalendo.com/person/julius-kones/,Orange Democratic Movement,,Member of Parliament at Konoin (Constituency 2007-2013),53
Same (Post vying for not listed),JOHN KIPSANG ARAP KOECH,KENYA AFRICAN NATIONAL UNION,BOMET (county),304A24AF-DB66-E211-A3B9-00505687000D,John Kipsang Koech,,http://info.mzalendo.com/person/john-koech/,Kenya African National Union,,,310
Same,ANTHONY KIPKOSGE KIMETO,UNITED DEMOCRATIC MOVEMENT,BOMET (county),474B6ADB-F36A-E211-A5C8-005056870012,Anthony Kimeto,Anthony Kimeto,http://info.mzalendo.com/person/anthony-kimeto/,Kenya African National Union,,,351
Same,KENNETH MAKELO LUSAKA,NEW FORD KENYA,BUNGOMA (county),4B68FDD7-576D-E211-A5C8-005056870012,Kenneth Lusaka,Kenneth Lusaka,http://info.mzalendo.com/person/kenneth-lusaka/,New Ford Kenya,Aspirant Governor at Bungoma (County 2013-),,417
Same,ALFRED KHANGATI,ORANGE DEMOCRATIC MOVEMENT,BUNGOMA (county),719CBEA9-486C-E211-A5C8-005056870012,Alfred Khang'ati,,http://info.mzalendo.com/person/alfred-khangati/,Orange Democratic Movement,Aspirant Governor at Bungoma (County 2013-),Member of Parliament at Kanduyi (Constituency 2007-2013),42
Same,MUSIKARI NAZI KOMBO,NEW FORD KENYA,BUNGOMA (county),D98B83CC-4F6D-E211-A5C8-005056870012,Musikari Nazi Kombo,Musikari Kombo,http://info.mzalendo.com/person/musikari-kombo/,"Forum For The Restoration Of Democracy - Kenya, New Ford Kenya, Party of National Unity","Aspirant Senator at Bungoma (County 2013-), Aspirant Senator at Bungoma (County 2013-)",Nominated Member of Parliament at None,218
Same (switched parties?),MOSES MASIKA WETANGULA,FORUM FOR RESTORATION OF DEMOCRACY-KENYA,BUNGOMA (county),3DE21315-0269-E211-9497-005056870012,Moses Masika Wetangula,Moses Masika Wetangula,http://info.mzalendo.com/person/moses-wetangula/,"Kenya African National Union, Party of National Unity","Aspirant Senator at Bungoma (County 2013-), Aspirant President at Kenya (Country)",Member of Parliament at Sirisia (Constituency 2007-2013),210
Same,MUKHISA KITUYI,UNITED DEMOCRATIC FORUM PARTY,BUNGOMA (county),809CBEA9-486C-E211-A5C8-005056870012,Mukhisa Kituyi,Mukhisa Kituyi,http://info.mzalendo.com/person/mukhisa-kituyi/,"National Rainbow Coalition, United Democratic Forum Party (UDF)",Aspirant Senator at Bungoma (County 2013-),,293
Same,JULIA  AUMA OJIAMBO,THE LABOUR PARTY OF KENYA,BUSIA (county),91C3F6FC-1F6A-E211-B91E-005056870012,Julia Auma Ojiambo,Julia Auma Ojiambo,http://info.mzalendo.com/person/julia-ojiambo/,,Aspirant Women representative at Busia (County 2013-),,362
Same,ONESIMUS KIPCHUMBA MURKOMEN,UNITED REPUBLICAN PARTY,ELGEYO/MARAKWET (county),BA5485EE-3569-E211-9497-005056870012,Onesimus Kipchumba Murkomen,Onesimus Kipchumba Murkomen,http://info.mzalendo.com/person/kipchumba-murkomen/,United Republican Party (URP),Aspirant Senator at Elgeyo-Marakwet (County 2013-),,440
Same,MARTIN NYAGA WAMBORA,THE NATIONAL ALLIANCE,EMBU (county),EC5CE7D1-9B67-E211-8158-00505687000D,Martin Nyaga Wambora,Martin Nyaga Wambora,http://info.mzalendo.com/person/martin-wambora/,"National Rainbow Coalition, The National Alliance (TNA)",Aspirant Governor at Embu (County 2013-),,285
Same,PETER NJERU NDWIGA,THE NATIONAL ALLIANCE,EMBU (county),F25CE7D1-9B67-E211-8158-00505687000D,Peter Njeru Ndwiga,Peter Njeru Ndwiga,http://info.mzalendo.com/person/Peter-ndwiga/,"Democratic Party, National Rainbow Coalition, The National Alliance (TNA)",Aspirant Senator at Embu (County 2013-),,278
Same,LENNY MAXWELL KIVUTI,ALLIANCE PARTY OF KENYA,EMBU (county),9B00B5AE-C466-E211-A3B9-00505687000D,Lenny Maxwell Kivuti,Lenny Maxwell Kivuti,http://info.mzalendo.com/person/lenny-kivuti/,"Alliance Party of Kenya (APK), Safina Party Of Kenya",Aspirant Senator at Embu (County 2013-),Member of Parliament at Siakago (Constituency 2007-2013),55
Same,ROSEMARY WANJA NTHIGA,RESTORE AND BUILD KENYA,EMBU (county),46D8FA30-D366-E211-A3B9-00505687000D,Rosemary Wanja Nthiga,Rosemary Wanja Nthiga,http://info.mzalendo.com/person/rosemary-wanja-nthiga/,,Aspirant Women representative at Embu (County 2013-),,413
Same,FARAH MAALIM,ORANGE DEMOCRATIC MOVEMENT,GARISSA (county),849CBEA9-486C-E211-A5C8-005056870012,Farah Maalim Mohamed,Farah Maalim Mohamed,http://info.mzalendo.com/person/farah-maalim/,Orange Democratic Movement,Aspirant Senator at Garissa (County 2013-),Member of Parliament at Lagdera (Constituency 2007-2013),16
Same,GERALD OTIENO KAJWANG,ORANGE DEMOCRATIC MOVEMENT,HOMA BAY (county),3E511AF3-7F6B-E211-A5C8-005056870012,Gerald Otieno Kajwang,Gerald Otieno Kajwang,http://info.mzalendo.com/person/otieno-kajwang/,"Forum For The Restoration Of Democracy - Kenya, National Rainbow Coalition, Orange Democratic Movement",,Member of Parliament at Mbita (Constituency 2007-2013),164
Same,SOITA PETER SHITANDA,NEW FORD KENYA,KAKAMEGA (county),9E95C437-B96C-E211-A5C8-005056870012,Peter Soita Shitanda,Peter Soita Shitanda,http://info.mzalendo.com/person/soita-shitanda/,"Forum For The Restoration Of Democracy - Kenya, National Rainbow Coalition, New Ford Kenya",Aspirant Governor at Kakamega (County 2013-),Member of Parliament at Malava (Constituency 2007-2013),207
Same,JAPHETH KIPKEMOI  ROB,,KERICHO (county),9ECEE547-886C-E211-A5C8-005056870012,Japheth Kipkemoi Rob,,http://info.mzalendo.com/person/japheth-kipkemoi-rob/,,Aspirant Senator at Kericho (County 2013-),,480
Same,CHARLES CHERUIYOT KETER,UNITED REPUBLICAN PARTY,KERICHO (county),0806377F-396C-E211-A5C8-005056870012,Charles Cheruiyot Keter,Charles Cheruiyot Keter,http://info.mzalendo.com/person/charles-keter/,"Orange Democratic Movement, United Republican Party (URP)",Aspirant Senator at Kericho (County 2013-),Member of Parliament at Belgut (Constituency 2007-2013),169
Same (Post vying for not listed),KIPKORIR MARISIN ARAP SANG,KENYA AFRICAN NATIONAL UNION,KERICHO (county),3A4A24AF-DB66-E211-A3B9-00505687000D,Kipkorir Marisin Sang,,http://info.mzalendo.com/person/kipkorir-sang/,Kenya African National Union,,,309
Same,ESTHER CHERONO KEINO,WIPER DEMOCRATIC MOVEMENT- KENYA,KERICHO (county),D81136E6-6B6B-E211-A5C8-005056870012,Esther Keino,Esther Keino,http://info.mzalendo.com/person/esther-keino/,Kenya African National Union,,,359
Same,WILLIAM KABOGO GITAU,THE NATIONAL ALLIANCE,KIAMBU (county),8F71DC5D-E26A-E211-A5C8-005056870012,William Kabogo Gitau,William Kabogo Gitau,http://info.mzalendo.com/person/william-kabogo/,"NARC - Kenya, The National Alliance (TNA)",Aspirant Governor at Kiambu (County 2013-),Member of Parliament at Juja (Constituency 2007-2013),162
Same,BEDAN NG'ANG'A MBUGUA,SAFINA,KIAMBU (county),ECFB947D-0767-E211-A3B9-00505687000D,Bedan Mbugua,Bedan Mbugua,http://info.mzalendo.com/person/bedan-mbugua/,,Aspirant Governor at Kiambu (County 2013-),,478
Same,JAMES KARANJA NYORO,NATIONAL RAINBOW COALITION,KIAMBU (county),6CECD0EB-906C-E211-A5C8-005056870012,James Nyoro,James Nyoro,http://info.mzalendo.com/person/james-nyoro/,National Rainbow Coalition,Aspirant Governor at Kiambu (County 2013-),,470
Same,STANLEY MUNGA GITHUNGURI,KENYA AFRICAN NATIONAL UNION,KIAMBU (county),334A24AF-DB66-E211-A3B9-00505687000D,Stanley Munga Githunguri,Stanley Munga Githunguri,http://info.mzalendo.com/person/stanley-githunguri/,Kenya African National Union,Aspirant Governor at Kiambu (County 2013-),Member of Parliament at Kiambaa (Constituency 2007-2013),21
Same,GEORGE BONIFACE NJAU MBUGUA NYANJA,NATIONAL RAINBOW COALITION,KIAMBU (county),5C81E250-E46C-E211-A5C8-005056870012,George Nyanja,George Nyanja,http://info.mzalendo.com/person/george-nyanja/,"Ford Asili, National Democratic Party, The National Alliance (TNA)",Aspirant Governor at Kiambu (County 2013-),,476
Same (post vying for missing),MORRIS MWACHONDO DZORO,,KILIFI (county),427AB9F7-9467-E211-8158-00505687000D,Morris Mwachondo Dzoro,Morris Mwachondo Dzoro,http://info.mzalendo.com/person/morris-dzoro/,,,,247
Same,SAMSON KEGENGO ONGERI,THE NATIONAL ALLIANCE,KISII (county),B18D53D8-9E67-E211-8158-00505687000D,Samson Kegeo Ongeri,Prof. Sam Ongeri,http://info.mzalendo.com/person/samson-ongeri/,"Kenya African National Union, Kenya African National Union, Kenya African National Union, The National Alliance (TNA)",Aspirant Senator at Kisii (County 2013-),Member of Parliament at Nyaribari Masaba (Constituency 2007-2013),124
Same (post vying for missing),GEORGE OMARI NYAMWEYA,UNITED DEMOCRATIC FORUM PARTY,KISII (county),0A4F659E-AB6B-E211-A5C8-005056870012,George Omari Nyamweya,George Omari Nyamweya,http://info.mzalendo.com/person/george-nyamweya/,Party of National Unity,,Nominated Member of Parliament at None,383
Same,CHRISTOPHER MOGERE OBURE,ORANGE DEMOCRATIC MOVEMENT,KISII (county),9AAE1C48-336C-E211-A5C8-005056870012,Christopher Mogere Obure,Christopher Mogere Obure,http://info.mzalendo.com/person/christopher-obure/,Orange Democratic Movement,Aspirant Senator at Kisii (County 2013-),Member of Parliament at Bobasi (Constituency 2007-2013),118
Same (post vying for missing),JAMES OMINGO MAGARA,PEOPLES DEMOCRATIC PARTY,KISII (county),F710B438-D866-E211-A3B9-00505687000D,James Omingo Magara,James Omingo Magara,http://info.mzalendo.com/person/omingo-magara/,Orange Democratic Movement,,,180
Same,PETER ANYANG' NYONG'O,ORANGE DEMOCRATIC MOVEMENT,KISUMU (county),92CBA6CC-476C-E211-A5C8-005056870012,Peter Anyang' Nyong'o,Peter Anyang' Nyong'o,http://info.mzalendo.com/person/peter-nyongo/,"Forum For The Restoration Of Democracy - Kenya, National Rainbow Coalition, Orange Democratic Movement",Aspirant Senator at Kisumu (County 2013-),Member of Parliament at Kisumu Rural (Constituency 2007-2013),193
Same,PHILIP NZAMBA KITONGA,NATIONAL LABOUR PARTY,KITUI (county),1841A748-8F67-E211-8158-00505687000D,Philip Nzamba Kitonga,Philip Nzamba Kitonga,http://info.mzalendo.com/person/nzamba-kitonga/,National Labour Party,Aspirant Governor at Kitui (County 2013-),,451
Same (post vying for missing),DAVID MUSILA,WIPER DEMOCRATIC MOVEMENT- KENYA,KITUI (county),3A2A2269-8E6C-E211-A5C8-005056870012,David Musila,David Musila,http://info.mzalendo.com/person/david-musila/,Orange Democratic Movement Party Of Kenya,,Member of Parliament at Mwingi South (Constituency 2007-2013),94
Same,CHARITY KALUKI NGILU,NATIONAL RAINBOW COALITION,KITUI (county),EB96EC30-506D-E211-A5C8-005056870012,Charity Kaluki Ngilu,Charity Kaluki Ngilu,http://info.mzalendo.com/person/charity-ngilu/,,Aspirant Senator at Kitui (County 2013-),Member of Parliament at Kitui Central (Constituency 2007-2013),111
Same,WINFRED NYIVA MWENDWA,WIPER DEMOCRATIC MOVEMENT- KENYA,KITUI (county),422A2269-8E6C-E211-A5C8-005056870012,Winfred Nyiva Mwendwa,Winfred Nyiva Mwendwa,http://info.mzalendo.com/person/nyiva-mwendwa/,"Kenya African National Union, Kenya African National Union, National Rainbow Coalition",Aspirant Women representative at Kitui (County 2013-),,275
Same,SIMEON MWERO MKALLA,UNITED DEMOCRATIC FORUM PARTY,KWALE (county),4E784665-3C6C-E211-A5C8-005056870012,Simeon Mkalla,Simeon Mkalla,http://info.mzalendo.com/person/simeon-mkalla/,United Democratic Forum Party (UDF),Aspirant Governor at Kwale (County 2013-),,475
Same,MICHAEL CHIDZAO NYANJE,THE INDEPENDENT PARTY,KWALE (county),09631D4F-8E6C-E211-A5C8-005056870012,Michael Chidzao Nyanje,Michael Chidzao Nyanje,http://info.mzalendo.com/person/michael-nyanje/,,Aspirant Governor at Kwale (County 2013-),,471
Same,CHIRAU ALI MWAKWERE,UNITED REPUBLICAN PARTY,KWALE (county),348FB641-686B-E211-A5C8-005056870012,Chirau Ali Mwakwere,Chirau Ali Mwakwere,http://info.mzalendo.com/person/Chirau-mwakwere/,"Kenya African National Union, Party of National Unity, United Republican Party (URP)","Aspirant Senator at Kwale (County 2013-), Aspirant Senator at Kwale (County 2013-)",Member of Parliament at Matuga (Constituency 2007-2013),189
Same (post vying for missing),NDIRITU MURIITHI,UNITED DEMOCRATIC FORUM PARTY,LAIKIPIA (county),9BB8182E-656C-E211-A5C8-005056870012,Ndiritu Muriithi,Ndiritu Muriithi,http://info.mzalendo.com/person/ndiritu-muriithi/,Party of National Unity,,Member of Parliament at Laikipia West (Constituency 2007-2013),91
Same (post vying for missing),GODFREY GITAHI KARIUKI,THE NATIONAL ALLIANCE,LAIKIPIA (county),FF7AAD90-9F67-E211-8158-00505687000D,Godfrey Gitahi Kariuki,Godfrey Gitahi Kariuki,http://info.mzalendo.com/person/gg-kariuki/,"Kenya African National Union, National Rainbow Coalition",,,330
Same,ABU MOHAMED ABU CHIABA,THE NATIONAL ALLIANCE,LAMU (county),F07AAD90-9F67-E211-8158-00505687000D,Abu Mohamed Chiaba,Abu Mohamed Chiaba,http://info.mzalendo.com/person/Abu-chiaba/,"Kenya African National Union, Kenya African National Union, Party of National Unity, The National Alliance (TNA)",Aspirant Governor at Lamu (County 2013-),Member of Parliament at Lamu East (Constituency 2007-2013),3
Same (switched parties?),JOHNSON NDUYA MUTHAMA,WIPER DEMOCRATIC MOVEMENT- KENYA,MACHAKOS (county),5ED36A18-8E6C-E211-A5C8-005056870012,Johnson Nduya Muthama,Johnson Nduya Muthama,http://info.mzalendo.com/person/johnson-muthama/,Orange Democratic Movement Party Of Kenya,Aspirant Senator at Machakos (County 2013-),Member of Parliament at Kangundo (Constituency 2007-2013),96
Same,ALFRED NGANGA MUTUA,WIPER DEMOCRATIC MOVEMENT- KENYA,MACHAKOS (county),4BAAC3A1-316C-E211-A5C8-005056870012,Alfred Mutua,Alfred Mutua,http://info.mzalendo.com/person/alfred-mutua/,Wiper democratic Movement Kenya,Aspirant Governor at Machakos (County 2013-),,419
Same,WAVINYA NDETI,CHAMA CHA UZALENDO,MACHAKOS (county),0A78E31F-B567-E211-8158-00505687000D,Wavinya Ndeti,Wavinya Ndeti,http://info.mzalendo.com/person/wavinya-ndeti/,Chama Cha Uzalendo,"Aspirant Governor at Machakos (County 2013-), Aspirant Governor at Machakos (County 2013-)",Member of Parliament at Kathiani (Constituency 2007-2013),109
Same (Post vying for not listed),PHILIP KYALO KITUTI  KALOKI,WIPER DEMOCRATIC MOVEMENT- KENYA,MAKUENI (county),0E86C22B-8E6C-E211-A5C8-005056870012,Philip Kyalo Kaloki,,http://info.mzalendo.com/person/philip-kaloki/,Orange Democratic Movement Party Of Kenya,,Member of Parliament at Kibwezi (Constituency 2007-2013),62
Same,MUTULA KILONZO,WIPER DEMOCRATIC MOVEMENT- KENYA,MAKUENI (county),0F86C22B-8E6C-E211-A5C8-005056870012,Mutula Kilonzo,Mutula Kilonzo,http://info.mzalendo.com/person/mutula-kilonzo/,Orange Democratic Movement Party Of Kenya,Aspirant Senator at Makueni (County 2013-),Member of Parliament at Mbooni (Constituency 2007-2013),47
Same,JOHN HARUN MWAU,PARTY OF INDEPENDENT CANDIDATES OF KENYA,MAKUENI (county),36DBEC92-DD6B-E211-A5C8-005056870012,John Harun Mwau,John Harun Mwau,http://info.mzalendo.com/person/Harun-mwau/,Party of Independent Candidates of Kenya (PICK),Aspirant Senator at Makueni (County 2013-),Member of Parliament at Kilome (Constituency 2007-2013),105
Same,AGNES MUTINDI NDETEI,NATIONAL RAINBOW COALITION,MAKUENI (county),9D60DAF1-106B-E211-A5C8-005056870012,Agnes Ndetei,Agnes Ndetei,http://info.mzalendo.com/person/agnes-ndetei/,National Rainbow Coalition,Aspirant Women representative at Makueni (County 2013-),,437
Different,HUSSEIN HAJI  MOHAMED,SAFINA,MANDERA (county),F8FB947D-0767-E211-A3B9-00505687000D,Hussein Maalim Mohamed,,http://info.mzalendo.com/person/hussein-mohamed/,Kenya African National Union,,,394
Same,KILEMI MWIRIA,THE NATIONAL ALLIANCE,MERU (county),9F280C44-9F67-E211-8158-00505687000D,Valerian Kilemi Mwiria,Valerian Kilemi Mwiria,http://info.mzalendo.com/person/kilemi-mwiria/,"Party of National Unity, The National Alliance (TNA)",Aspirant Governor at Meru (County 2013-),Member of Parliament at Tigania West (Constituency 2007-2013),190
Same,PETER GATIRAU MUNYA,ALLIANCE PARTY OF KENYA,MERU (county),8F00B5AE-C466-E211-A3B9-00505687000D,Peter Munya Gatirau,Peter Munya Gatirau,http://info.mzalendo.com/person/peter-munya/,"Alliance Party of Kenya (APK), National Rainbow Coalition, Party of National Unity",Aspirant Governor at Meru (County 2013-),Member of Parliament at Tigania East (Constituency 2007-2013),186
Same (switched parties?),KIRAITU MURUNGI,ALLIANCE PARTY OF KENYA,MERU (county),9E00B5AE-C466-E211-A3B9-00505687000D,Kiraitu Murungi,Kiraitu Murungi,http://info.mzalendo.com/person/kiraitu-murungi/,Party of National Unity,Aspirant Senator at Meru (County 2013-),Member of Parliament at South Imenti (Constituency 2007-2013),93
Same,GITOBU IMANYARA,ORANGE DEMOCRATIC MOVEMENT,MERU (county),829CBEA9-486C-E211-A5C8-005056870012,Gitobu Imanyara,Gitobu Imanyara,http://info.mzalendo.com/person/gitobu-imanyara/,"Chama Cha Uzalendo, Orange Democratic Movement",Aspirant Senator at Meru (County 2013-),Member of Parliament at Central Imenti (Constituency 2007-2013),22
Same,WILFRED GISUKA MACHAGE,ORANGE DEMOCRATIC MOVEMENT,MIGORI (county),869CBEA9-486C-E211-A5C8-005056870012,Wilfred Gisuka Machage,Wilfred Gisuka Machage,http://info.mzalendo.com/person/wilfred-machage/,"Democratic Party, National Rainbow Coalition, Orange Democratic Movement",Aspirant Senator at Migori (County 2013-),Member of Parliament at Kuria (Constituency 2007-2013),179
Same,SULEIMAN SAID SALEH SHAHBAL,WIPER DEMOCRATIC MOVEMENT- KENYA,MOMBASA (county),5F1EB57A-896C-E211-A5C8-005056870012,Suleiman Shahbal,Suleiman Shahbal,http://info.mzalendo.com/person/suleiman-shahbal/,Wiper democratic Movement Kenya,Aspirant Governor at Mombasa (County 2013-),,463
Same,HASSAN  ALI JOHO,ORANGE DEMOCRATIC MOVEMENT,MOMBASA (county),739CBEA9-486C-E211-A5C8-005056870012,Hassan Ali Joho,,http://info.mzalendo.com/person/hassan-joho/,Orange Democratic Movement,Aspirant Governor at Mombasa (County 2013-),Member of Parliament at Kisauni (Constituency 2007-2013),30
Same,NAJIB MOHAMED BALALA,,MOMBASA (county),3F7AB9F7-9467-E211-8158-00505687000D,Najib Mohamed Balala,Najib Mohamed Balala,http://info.mzalendo.com/person/najib-balala/,Orange Democratic Movement,"Aspirant Senator at Mombasa (County 2013-), Aspirant Senator at Mombasa (County 2013-)",Member of Parliament at Mvita (Constituency 2007-2013),9
Same,RAMADHAN SEIF KAJEMBE,ORANGE DEMOCRATIC MOVEMENT,MOMBASA (county),839CBEA9-486C-E211-A5C8-005056870012,Ramadhan Seif Kajembe,Ramadhan Seif Kajembe,http://info.mzalendo.com/person/ramadhan-kajembe/,"Kenya African National Union, National Rainbow Coalition, Orange Democratic Movement",Aspirant Senator at Mombasa (County 2013-),Member of Parliament at Changamwe (Constituency 2007-2013),163
Same,JAMES KEMBI GITURA,THE NATIONAL ALLIANCE,MURANG'A (county),7A7D3677-9F67-E211-8158-00505687000D,James Kembi Gitura,James Kembi Gitura,http://info.mzalendo.com/person/kembi-gitura/,"National Rainbow Coalition, The National Alliance (TNA)",Aspirant Senator at Murang'a (County 2013-),,242
Same,KINUTHIA MBUGUA,THE NATIONAL ALLIANCE,NAKURU (county),508C2E39-7C69-E211-B91E-005056870012,Kinuthia Mbugua,Kinuthia Mbugua,http://info.mzalendo.com/person/kinuthia-mbugua/,The National Alliance (TNA),Aspirant Governor at Nakuru (County 2013-),,449
Same,JAYNE NJERI WANJIRU KIHARA,NARC-KENYA,NAKURU (county),3FD0F78E-0269-E211-9497-005056870012,Jayne Njeri Kihara,,http://info.mzalendo.com/person/jayne-kihara/,"National Rainbow Coalition, NARC - Kenya",Aspirant Senator at Nakuru (County 2013-),,336
Same (switched parties?),KOIGI WA WAMWERE,CHAMA CHA MWANANCHI,NAKURU (county),749B08DB-7B6B-E211-A5C8-005056870012,Koigi Wamwere,Koigi Wamwere,http://info.mzalendo.com/person/koigi-wamwere/,"Kenya African National Union, National Rainbow Coalition",Aspirant Senator at Nakuru (County 2013-),,352
Different,JOSEPH MANJOY LAGAT,RESTORE AND BUILD KENYA,NANDI (county),4C5CCD40-5A66-E211-A3B9-00505687000D,Joseph Kipchumba Lagat,,http://info.mzalendo.com/person/joseph-lagat/,Kenya African National Union,,,313
Same,STEPHEN  KIPKIYENY TARUS,UNITED DEMOCRATIC FORUM PARTY,NANDI (county),EBF378AE-3C6C-E211-A5C8-005056870012,Stephen Kipkiyeny Tarus,Stephen Kipkiyeny Tarus,http://info.mzalendo.com/person/stephen-tarus/,National Rainbow Coalition,Aspirant Governor at Nandi (County 2013-),,315
Same (post vying for missing),HENRY  KIPRONO A. KOSGEY,ORANGE DEMOCRATIC MOVEMENT,NANDI (county),7C9CBEA9-486C-E211-A5C8-005056870012,Henry Kiprono Kosgey,Henry Kiprono Kosgey,http://info.mzalendo.com/person/henry-kosgey/,Orange Democratic Movement,,Member of Parliament at Tinderet (Constituency 2007-2013),177
Same,LEDAMA OLEKINA,,NAROK (county),C84171EE-496D-E211-A5C8-005056870012,Ledama Olekina,Ledama Olekina,http://info.mzalendo.com/person/ledama-olekina/,,"Aspirant Governor at Narok (County 2013-), Aspirant President at Kenya (Country)",,407
Same,JULIUS LEKAKENY OLE SUNKULI,THE NATIONAL ALLIANCE,NAROK (county),17CE0708-9C67-E211-8158-00505687000D,Julius Lekakeny Sunkuli,,http://info.mzalendo.com/person/julius-sunkuli/,The National Alliance (TNA),Aspirant Senator at Narok (County 2013-),,427
Same (post vying for missing),STEPHEN KANYINKE NTUTU,UNITED REPUBLICAN PARTY,NAROK (county),C45485EE-3569-E211-9497-005056870012,Stephen Kanyinke Ole Ntutu,Stephen Kanyinke Ole Ntutu,http://info.mzalendo.com/person/stephen-ole-ntutu/,Kenya African National Union,,,338
Same,PETER BITA ONDIEKI,PEOPLES DEMOCRATIC PARTY,NYAMIRA (county),F410B438-D866-E211-A3B9-00505687000D,Peter Bita Ondieki,Peter Bita Ondieki,http://info.mzalendo.com/person/peter-ondieki/,,Aspirant Governor at Nyamira (County 2013-),,455
Same,HENRY ONYANCHA OBWOCHA,FORD-PEOPLE,NYAMIRA (county),A262D082-F366-E211-A3B9-00505687000D,Henry Onyancha Obwocha,Henry Obwocha,http://info.mzalendo.com/person/henry-obwocha/,Ford People,"Aspirant Governor at Nyamira (County 2013-), Aspirant Senator at Nyamira (County 2013-)",,356
Same,DAVID MWANIKI NGUGI,GRAND NATIONAL UNION,NYANDARUA (county),C18348AE-BB66-E211-A3B9-00505687000D,David Mwaniki Ngugi,David Mwaniki Ngugi,http://info.mzalendo.com/person/david-ngugi/,"Grand National Union, Sisi Kwa Sisi",Aspirant Governor at Nyandarua (County 2013-),Member of Parliament at Kinangop (Constituency 2007-2013),112
Same,JAMES NDERITU GACHAGUA,GRAND NATIONAL UNION,NYERI (county),F9F2A76B-BB66-E211-A3B9-00505687000D,James Nderitu Gachagua,James Nderitu Gachagua,http://info.mzalendo.com/person/nderitu-gachagua/,"Grand National Union, National Rainbow Coalition",Aspirant Governor at Nyeri (County 2013-),,228
